@RELATION CommOps
@ATTRIBUTE text string
@ATTRIBUTE ModalVerbSignal {shall, will, may, might, can, must, could, would, should, requested, please, none}
@ATTRIBUTE ActionVerbSignal {yes, no}
@ATTRIBUTE TypeOfSubject {first, second, third, none}
@ATTRIBUTE NegativeVerbSignal {yes, no}
@ATTRIBUTE presentTenseVerbSignal {yes, no}
@ATTRIBUTE pastTenseVerbSignal {yes, no}
@ATTRIBUTE debtorPresent {yes, no}
@ATTRIBUTE creditorPresent {yes, no}
@ATTRIBUTE delegationSignal {yes, no}
@ATTRIBUTE deadlineSignal {yes, no}
@ATTRIBUTE createCommitmentPresent {yes, no}
@ATTRIBUTE bigramModalSecond {yes, no}
@ATTRIBUTE bigramFirstModal {yes, no}
@ATTRIBUTE bigramPleaseAction {yes, no}
@ATTRIBUTE questionMarkPresent {yes, no}
@ATTRIBUTE class {create, icreate, discharge, cancel, delegate, none}

@DATA
"Kim,At one time there was someone in marketing looking at developing salt dome storage on TW near Station 1.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"I was wondering what if any was the status of that evaluation.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"Given the increasing number of power plants being installed in the area, this has the potential to reduce expansion costs where we have highly variable loads.Gary Choquette",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"I have not found anyone from Marketing who recalls looking at a potential salt dome storage on TW near Station 1.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"Are you familiar with anything that may be happening on this?",may,no,none,no,yes,no,no,no,no,no,no,no,no,no,yes,none
"Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Kim, I sent the message pasted below to Kevin 4/16/01.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"As a matter of fact Kevin caught up with me Friday to chat about a peaker facility being investigated near Flagstaff and I asked him about this.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"He did not have much info yet but said he was just getting to the point of having an opportunity to look into it......",none,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"To:	Kevin Hyatt/ET&S/Enroncc:	 Subject:	Salt Domes Kevin, I cant remember who was asking (or if it was even Marketing asking the question) but, a couple of weeks ago someone wanted to know if we knew of any salt domes or potential storage fields in the Needles area.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"Well I kind of forgot about it for a few weeks and once I got to checking there are some salt domes in the Kingman area.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"They are located about 10 miles North of Kingman and word is that El Paso had looked into developing these domes several years ago but never did anything but look.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"Im under the impression that the area is still privately owned but Im not certain.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Anyhow, just thought we would pass this along and if this is something of interest or if you need more information let us know....",would,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Oh yea, Transwesterns pipeline is just South of Kingman, Az.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Hi Kevin,Do you know anything about potiential salt dome storage near Station 1?",none,no,none,no,yes,no,no,no,no,no,no,no,no,no,yes,none
"Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"At our meeting Thurs 7/19 with SouthWest Gas, Tom Armstrong informed us that SWG is the property and mineral rights holder for this salt dome north of the TW line near Kingman.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"SWG is completing a feasibility and engineering analysis on developing the potential gas storage site.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"I indicated that TW / Enron would welcome an opportunity to work with SWG in developing the storage field and Tom was very receptive to the idea.SWG refers to the project as their Pataya or Red Lake storage field.",would,yes,third,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"The project would be 12 bcf net of pad gas, turn 12x per year, with 300mm/d deliverability.",would,yes,third,no,yes,no,yes,no,no,no,no,no,yes,no,no,create
"Phase I of 6 bcf may be operational by late 2003.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Tom and I agreed to stay in touch on the project.",none,yes,third,no,yes,yes,no,yes,yes,no,no,no,no,no,no,create
"SWG hopes to have a decision to move forward by year end 2001.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Gary,I just wanted to get back with you on the Salt Dome Storage question you asked earlier.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"I have not been able to find anyone in TW who has knowledge of exploring it, but per Kevins recent message, it looks like SWG is beginning to pursue it.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Do you have any comments or thoughts?",none,no,none,no,yes,no,no,no,no,no,no,no,no,no,yes,none
"I will be in Omaha on Thursday of this week for a RM meeting,",will,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"maybe we can hook up for a few minutes and visit about this.Thanks, Kim.",may,yes,first,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,create
"Lorraine,Have you had any discussion with SWG regarding their Pataya or Red Lake Storage field?",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,yes,none
"Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Kim - Yes, good timing.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Kevin and I visited SWG on 10/18 about Sun Devil as well as their Pataya storage project.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"As far as Pataya is concerned, SWG has a potential partner under a confidentiality agreement (which must bear fruit or die) so they are unable to discuss too much with us as far as TW/Enron getting in the game.",must,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"SWG is looking for $150 MM of capital in this project.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"After taking a look at the initial costs, etc. of Pataya, SWG thinks the costs for the APS/EP Copper Eagle storage look higher than Pataya.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"They are still on track for a decision by the end of this year.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"I will keep you posted.",will,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Kim, We will need to have allocations from the research group ready to run by Friday and I wanted to check with you to see whether the to be determined amounts on the attached allocation spreadsheet had been determined yet.",will,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"If possible, I would like to catch up amounts from prior months.",would,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Please let me know.Thanks,DianeX5-7996 << File: Enron Research and Development Allocation 2001.xls >>",please,yes,second,no,yes,no,yes,yes,no,no,no,no,no,yes,no,icreate
"I hate to nag, but have you had a chance to look at this?",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,yes,none
"Because of GPGs early close, this must be run today.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"I am so sorry I dont have an answer for you yet.",none,no,first,yes,no,no,yes,yes,no,no,no,no,no,no,no,cancel
"Transfer the normal amount for the other pieces that we have agreed to.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"I talked with Dan McCartys secretary today (Danny is our Managing Director) and she is booking me some time with both Eric Gadd and Danny to finalize this.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"I will get back with you in a couple weeks.",will,yes,first,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,create
"Thank you for your patience!",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Kim",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Kim,We will be running assessments again soon, and we really need to get this caught up.",will,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Do you have a cost center to transfer this to yet?",none,no,none,no,yes,no,no,no,no,no,no,no,no,no,yes,none
"Thanks,Diane",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Gerry,Lindy and I are going to tag team on this.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"She and I will get together on the results of these meetings.",will,yes,third,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Karen, Attached is the letter of credit with revised wording on Annex A.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"If you have any questions or comments, you can reach me via email or at (713)830-8328.",can,yes,second,no,yes,no,yes,no,no,no,no,no,yes,no,no,create
"Thank you.Tiffany Silvey <<Transwestern LC.doc>> (See attached file: Transwestern LC.doc)",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Tiffany,Our attorney Lee Huber has reviewed the latest revision and we are inagreement with the version proposed.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Please give me a call and we can discuss the issuance and addresses, etc.",please,yes,second,no,yes,no,yes,yes,no,no,no,no,no,yes,no,icreate
"Thanks for your assistance.My phone number is 713-853-6409.Regards.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Paul,I forwarded the LC to Bob Cooper in our credit department.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"He will handle the issuance of the LC.",will,yes,third,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"Thank you for your assistance.Tiffany",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"FYI, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"For my fellow travelers who will be going to Spain, Italy, Seattle and Pennsylvania.Interesting travel web site.",will,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"http://www.freetraveltips.com/",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Lindy Donoho will attend for our group.",will,yes,third,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Mara,I have a monthly outtage meeting to go to from 1:00 to 2:00pm.",none,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Can I just come late?",none,no,none,no,yes,no,no,no,no,no,no,no,no,no,yes,none
